10179015
+------+-------+-------+
|SUMLEV|  count|Percent|
+------+-------+-------+
|   740|1779895|17.4859|
|   730|1132064|11.1215|
|   720| 722260| 7.0956|
|   709| 632009| 6.2089|
|   710| 552165| 5.4245|
|   700| 467993| 4.5976|
|   701| 465222| 4.5704|
|   150| 462669| 4.5453|
|   708| 413830| 4.0655|
|   635| 359346| 3.5303|
|   630| 350176| 3.4402|
|   706| 347816| 3.4170|
|   707| 341545| 3.3554|
|   140| 225701| 2.2173|
|   636| 206480| 2.0285|
|   631| 185625| 1.8236|
|   511| 170613| 1.6761|
|   060| 109561| 1.0763|
|   155|  90718| 0.8912|
|   623|  90128| 0.8854|
|   160|  86798| 0.8527|
|   624|  84128| 0.8265|
|   613|  82220| 0.8077|
|   643|  76236| 0.7490|
|   521|  76157| 0.7482|
|   614|  73289| 0.7200|
|   642|  69794| 0.6857|
|   531|  65832| 0.6467|
|   532|  64992| 0.6385|
|   755|  54361| 0.5340|
|   629|  45321| 0.4452|
|   619|  35220| 0.3460|
|   572|  27240| 0.2676|
|   970|  21812| 0.2143|
|   622|  17080| 0.1678|
|   641|  17080| 0.1678|
|   627|  15667| 0.1539|
|   620|  13197| 0.1296|
|   628|  11566| 0.1136|
|   640|  11128| 0.1093|
|   612|  11128| 0.1093|
|   703|  10061| 0.0988|
|   050|   9661| 0.0949|
|   617|   9549| 0.0938|
|   512|   7729| 0.0759|
|   510|   7729| 0.0759|
|   570|   5830| 0.0573|
|   618|   5633| 0.0553|
|   610|   5473| 0.0538|
|   950|   4299| 0.0422|
|   704|   4220| 0.0415|
|   282|   3253| 0.0320|
|   285|   2739| 0.0269|
|   626|   2362| 0.0232|
|   702|   2347| 0.0231|
|   745|   2324| 0.0228|
|   571|   2216| 0.0218|
|   280|   2133| 0.0210|
|   616|   2059| 0.0202|
|   310|   1894| 0.0186|
|   283|   1867| 0.0183|
|   550|   1634| 0.0161|
|   735|   1610| 0.0158|
|   250|   1396| 0.0137|
|   638|   1337| 0.0131|
|   500|   1314| 0.0129|
|   633|   1231| 0.0121|
|   252|   1224| 0.0120|
|   715|   1088| 0.0107|
|   553|   1045| 0.0103|
|   960|   1026| 0.0101|
|   281|   1014| 0.0100|
|   705|    972| 0.0095|
|   288|    954| 0.0094|
|   286|    633| 0.0062|
|   254|    448| 0.0044|
|   067|    435| 0.0043|
|   637|    363| 0.0036|
|   632|    338| 0.0033|
|   330|    303| 0.0030|
|   172|    264| 0.0026|
|   040|    260| 0.0026|
|   639|    129| 0.0013|
|   625|    121| 0.0012|
|   634|     85| 0.0008|
|   350|     83| 0.0008|
|   615|     62| 0.0006|
|   314|     60| 0.0006|
|   230|     36| 0.0004|
|   541|     23| 0.0002|
|   170|     22| 0.0002|
|   355|     20| 0.0002|
|   030|     18| 0.0002|
|   335|     17| 0.0002|
|   020|      8| 0.0001|
|   010|      2| 0.0000|
+------+-------+-------+

